id;nome;pais;continente;escudo_url;bandeira_url;pesId
104;Colón;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSn6bv.png;https://a.imagem.app/oS1WN1.png;
105;Boca Juniors;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSni6T.png;https://a.imagem.app/oS1WN1.png;
106;Barracas Central;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnFE3.png;https://a.imagem.app/oS1WN1.png;
107;Banfield;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnXNZ.png;https://a.imagem.app/oS1WN1.png;
108;Atlético Tucumán;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnTni.png;https://a.imagem.app/oS1WN1.png;
109;Arsenal de Sarandí;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnqr8.png;https://a.imagem.app/oS1WN1.png;
110;Argentinos Juniors;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnJPE.png;https://a.imagem.app/oS1WN1.png;
111;Agropecuario Argentino;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDLdY.jpeg;https://a.imagem.app/oS1WN1.png;
112;Aldosivi;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDCTC.png;https://a.imagem.app/oS1WN1.png;
113;All Boys;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDuAa.png;https://a.imagem.app/oS1WN1.png;
114;Almirante Brown;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDE19.png;https://a.imagem.app/oS1WN1.png;
115;Atlético Alvarado;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDIuk.jpeg;https://a.imagem.app/oS1WN1.png;
116;Atlético Platense;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDQDV.png;https://a.imagem.app/oS1WN1.png;
117;Atlético San Martín;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDvSX.png;https://a.imagem.app/oS1WN1.png;
118;Atlético San Telmo;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDMqb.png;https://a.imagem.app/oS1WN1.png;
119;Atlético Temperley;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDVdQ.png;https://a.imagem.app/oS1WN1.png;
120;Central Norte;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDPb1.png;https://a.imagem.app/oS1WN1.png;
121;Chacarita Juniors;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDfN0.png;https://a.imagem.app/oS1WN1.png;
122;Deportivo Riestra;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDDYy.png;https://a.imagem.app/oS1WN1.png;
123;Ferro Carril Oeste;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDNcr.png;https://a.imagem.app/oS1WN1.png;
124;Independiente Rivadavia;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDOP2.png;https://a.imagem.app/oS1WN1.png;
125;Instituto Acc;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQDpSP.png;https://a.imagem.app/oS1WN1.png;
126;Nueva Chicago;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQN8ql.png;https://a.imagem.app/oS1WN1.png;
127;Patronato;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQNAmS.webp;https://a.imagem.app/oS1WN1.png;
128;Quilmes Ac;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/BQNobv.png;https://a.imagem.app/oS1WN1.png;
129;Belgrano;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/Bdcvi1.png;https://a.imagem.app/oS1WN1.png;
130;CHILE;CHILE;AMÉRICA DO SUL;;https://a.imagem.app/oS1OuQ.png;
131;Universidad De Chile;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0jKt.png;https://a.imagem.app/oS1OuQ.png;
132;Universidad Católica;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0qWW.png;https://a.imagem.app/oS1OuQ.png;
133;Unión La Calera;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0lC0.png;https://a.imagem.app/oS1OuQ.png;
134;Unión Española;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS05ay.png;https://a.imagem.app/oS1OuQ.png;
135;Palestino;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0czr.png;https://a.imagem.app/oS1OuQ.png;
136;Ñublense;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0rl2.png;https://a.imagem.app/oS1OuQ.png;
137;O'Higgins;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0wvP.png;https://a.imagem.app/oS1OuQ.png;
138;Deportivo Limache;CHILE;AMÉRICA DO SUL;https://a.imagem.app/BQNPje.png;https://a.imagem.app/oS1OuQ.png;
139;Huachipato;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0tXS.png;https://a.imagem.app/oS1OuQ.png;
140;CD Everton;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0uQv.png;https://a.imagem.app/oS1OuQ.png;
141;Deportes La Serena;CHILE;AMÉRICA DO SUL;https://a.imagem.app/BQNUgN.png;https://a.imagem.app/oS1OuQ.png;
142;Coquimbo Unido;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0RCZ.png;https://a.imagem.app/oS1OuQ.png;
143;Colo Colo;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0Zfi.png;https://a.imagem.app/oS1OuQ.png;
144;Cobresal;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0m28.png;https://a.imagem.app/oS1OuQ.png;
145;Audax Italiano;CHILE;AMÉRICA DO SUL;https://a.imagem.app/oS0glE.png;https://a.imagem.app/oS1OuQ.png;
146;Deportivo Municipal Iquique;CHILE;AMÉRICA DO SUL;https://a.imagem.app/3CfhgT.png;https://a.imagem.app/oS1OuQ.png;
147;COLOMBIA;COLOMBIA;AMÉRICA DO SUL;;https://a.imagem.app/oS1N6b.png;
148;Independiente Santa Fe;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSK1t3.png;https://a.imagem.app/oS1N6b.png;
149;Rionegro Águilas;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/BtNgi0.png;https://a.imagem.app/oS1N6b.png;
150;Patriotas;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKX98.png;https://a.imagem.app/oS1N6b.png;
151;Once Caldas;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKxVE.png;https://a.imagem.app/oS1N6b.png;
152;Millonarios;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKqHe.png;https://a.imagem.app/oS1N6b.png;
153;La Equidad;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKJxN.png;https://a.imagem.app/oS1N6b.png;
154;Junior;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKjZC.png;https://a.imagem.app/oS1N6b.png;
155;Jaguares De Córdoba;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSK5AY.png;https://a.imagem.app/oS1N6b.png;
156;Independiente Medellín;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSK9sa.png;https://a.imagem.app/oS1N6b.png;
157;Envigado;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKct9.png;https://a.imagem.app/oS1N6b.png;
158;Deportivo Pereira;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKrDk.png;https://a.imagem.app/oS1N6b.png;
159;Deportivo Pasto;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKC7V.png;https://a.imagem.app/oS1N6b.png;
160;Deportivo Cali;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKL9J.png;https://a.imagem.app/oS1N6b.png;
161;Deportes Tolima;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKt4G.png;https://a.imagem.app/oS1N6b.png;
162;Atlético Nacional;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKITX.png;https://a.imagem.app/oS1N6b.png;
163;Atlético Bucaramanga;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKQdb.png;https://a.imagem.app/oS1N6b.png;
164;América De Cali;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/oSKZAQ.png;https://a.imagem.app/oS1N6b.png;
165;Alianza FC;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/BR5EFt.png;https://a.imagem.app/oS1N6b.png;
166;Boyacá Chicó;COLOMBIA;AMÉRICA DO SUL;https://a.imagem.app/BtNDgT.png;https://a.imagem.app/oS1N6b.png;
